job_key,company,role,location,link,first_seen
"hdfc securities|product manager|mumbai, maharashtra, india",HDFC securities,Product Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/product-manager-at-hdfc-securities-4433053112?position=1&pageNum=0&refId=pd7N9mmnIkKrbDg24NNqlg%3D%3D&trackingId=BHtIy0R%2F1VBqB529oW7WoQ%3D%3D,2026-07-17
"meril|product manager|mumbai, maharashtra, india",Meril,Product Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/product-manager-at-meril-4430460012?position=2&pageNum=0&refId=pd7N9mmnIkKrbDg24NNqlg%3D%3D&trackingId=3vW6Kyj%2FWYsmbtIgYrSbaw%3D%3D,2026-07-17
"noon|product manager|gurugram, haryana, india",noon,Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-manager-at-noon-4434929862?position=4&pageNum=0&refId=pd7N9mmnIkKrbDg24NNqlg%3D%3D&trackingId=NR9EllI3pmEGbqW1dYIPlg%3D%3D,2026-07-17
"nykaa|product manager ii - customer fulfillment & post-order experience|gurugram, haryana, india",Nykaa,Product Manager II - Customer Fulfillment & Post-Order Experience,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-manager-ii-customer-fulfillment-post-order-experience-at-nykaa-4440662097?position=7&pageNum=0&refId=pd7N9mmnIkKrbDg24NNqlg%3D%3D&trackingId=eAJ%2BlHnYzct4Gab%2BStoTcg%3D%3D,2026-07-17
"airtel digital|associate product manager|gurugram, haryana, india",Airtel Digital,Associate Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/associate-product-manager-at-airtel-digital-4430882803?position=8&pageNum=0&refId=pd7N9mmnIkKrbDg24NNqlg%3D%3D&trackingId=0DSY%2BU%2BVFVE2SVWnEGtLgQ%3D%3D,2026-07-17
"pivotree|product manager|mumbai, maharashtra, india",Pivotree,Product Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/product-manager-at-pivotree-4367455184?position=2&pageNum=2&refId=KnUto4RqwP%2Fag3z3EeJAdg%3D%3D&trackingId=l4eWeuQkVjZnTwxgXtXyMQ%3D%3D,2026-07-17
"syook|product manager|noida, uttar pradesh, india",Syook,Product Manager,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/product-manager-at-syook-4436944607?position=5&pageNum=2&refId=KnUto4RqwP%2Fag3z3EeJAdg%3D%3D&trackingId=%2Bq7bFoXCJXE7abdbIvtjKA%3D%3D,2026-07-17
"atlys|product manager|delhi, india",Atlys,Product Manager,"Delhi, India",https://in.linkedin.com/jobs/view/product-manager-at-atlys-4437357961?position=10&pageNum=2&refId=KnUto4RqwP%2Fag3z3EeJAdg%3D%3D&trackingId=dmICg8OfsAHPonfVhmkwkw%3D%3D,2026-07-17
"meril life sciences|product manager|delhi, india",Meril Life Sciences,Product Manager,"Delhi, India",https://in.linkedin.com/jobs/view/product-manager-4438634667?position=1&pageNum=5&refId=kYcdkjUkhvWRssoaVDajGg%3D%3D&trackingId=Rg%2BeJG2nPitANOJdyxXbYw%3D%3D&trk=public_jobs_jserp-result_search-card,2026-07-17
"cvent|senior product manager|gurugram, haryana, india",Cvent,Senior Product Manager,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-product-manager-at-cvent-4439194498?position=8&pageNum=5&refId=kYcdkjUkhvWRssoaVDajGg%3D%3D&trackingId=xf6lXxU9avzi7flqXG45hw%3D%3D,2026-07-17
